ID,Name,IC50 (nM),SMILES,FW,Pubchem,CID
MF-095,(S)-N-(1-((5-(N-(tert-butyl)sulfamoyl)naphthalen-1-yl)amino)-1-oxo-3-phenylpropan-2-yl)cyclopropanecarboxamide,120,O=C(C1CC1)N[C@@H](CC2=CC=CC=C2)C(NC3=C4C=CC=C(S(=O)(NC(C)(C)C)=O)C4=CC=C3)=O,493.62,https://pubchem.ncbi.nlm.nih.gov/compound/146503452,146503452
MF-094,(S)-N-(1-((5-(N-(tert-butyl)sulfamoyl)naphthalen-1-yl)amino)-1-oxo-3-phenylpropan-2-yl)cyclohexanecarboxamide,>10,O=C(NC1=CC=CC2=C1C=CC=C2S(=O)(NC(C)(C)C)=O)[C@@H](NC(C3CCCCC3)=O)CC4=CC=CC=C4,535.7,https://pubchem.ncbi.nlm.nih.gov/compound/138319686,138319686
CMPD39,(R)-2-benzyl-N-(4-(N-(tert-butyl)sulfamoyl)phenyl)-4-(4-fluorophenyl)-4-oxobutanamide,~20,O=S(C1=CC=C(NC([C@H](CC2=CC=CC=C2)CC(C3=CC=C(F)C=C3)=O)=O)C=C1)(NC(C)(C)C)=O,497.59,https://pubchem.ncbi.nlm.nih.gov/compound/142474792,142474792
19n,(S)-N-(1-((4-(N-(tert- butyl)sulfamoyl)phenyl)amino)-1- oxo-3-(pyridin-3-yl)propan-2-yl)-4- fluorobenzamide,16,O=C(N[C@@H](CC1=CC=CN=C1)C(NC2=CC=C(S(=O)(NC(C)(C)C)=O)C=C2)=O)C3=CC=C(F)C=C3,498.57,https://pubchem.ncbi.nlm.nih.gov/compound/142474723,142474723
10e,(S)-N-(1-((4-(tert- butyl)sulfamoyl)phenyl)amino)-1- oxo-3-phenylpropan-2-yl)-4- fluorobenzamide,17,O=C(N[C@@H](CC1=CC=CC=C1)C(NC2=CC=C(S(=O)(NC(C)(C)C)=O)C=C2)=O)C3=CC=C(F)C=C3,497.59,https://pubchem.ncbi.nlm.nih.gov/compound/142474792,142474792
19g,(S)-N-(1-((4-(N-(tert- butyl)sulfamoyl)phenyl)amino)-1- oxo-3-(thiophen-2-yl)propan-2-yl)- 4-fluorobenzamide,19,O=C(N[C@@H](CC1=CC=CS1)C(NC2=CC=C(S(=O)(NC(C)(C)C)=O)C=C2)=O)C3=CC=C(F)C=C3,503.61,https://pubchem.ncbi.nlm.nih.gov/compound/142474771,142474771
 7h,(S)-N-(1-((5-(N-(tert- butyl)sulfamoyl)naphthalen-1- yl)amino)-3-cyclopropyl-1- oxopropan-2-yl)benzamide,2200,O=C(N[C@@H](CC1CC1)C(NC2=C3C=CC=C(S(=O)(NC(C)(C)C)=O)C3=CC=C2)=O)C4=CC=CC=C4,493.62,https://pubchem.ncbi.nlm.nih.gov/compound/146503503,146503503
19d,(S)-N-(1-((4-(N-(tert- butyl)sulfamoyl)-3- methylphenyl)amino)-1-oxo-3- phenylpropan-2- yl)cyclohexanecarboxamide,10000,O=C(C1CCCCC1)N[C@@H](CC2=CC=CC=C2)C(NC3=CC=C(S(=O)(NC(C)(C)C)=O)C(C)=C3)=O,468.77,https://pubchem.ncbi.nlm.nih.gov/compound/146503448,146503448
